feature,mean_abs_phi
AbuseNone,2.6575762002423897e-4
AbuseYes,0.0014596102369361498
AddictionDrugs,1.7753043638021086e-9
AddictionNone,5.181326433717641e-5
AddictionSmoking,3.848391945676275e-4
Age,0.001621979503002384
Age.of.immediate.older.children1yr.to.3yr,6.132359510930182e-4
Age.of.immediate.older.children4yr.to.6yr,6.813750414295085e-4
Age.of.immediate.older.children7yr.to.12yr,2.7532885405917275e-4
Age.of.immediate.older.childrenNone,4.830994928623069e-4
Age.of.newborn1.year.to.1.5.year,5.903613562479868e-4
Age.of.newborn6.months.to.1.year,0.002232888022852149
Age.of.newbornOlder.than.1.5.year,2.5098345187454655e-4
Angry.after.latest.child.birthYes,9.943936858272553e-4
Birth.compliancyYes,0.00212195662903836
BreastfeedYes,6.877387998482087e-4
Current.monthly.income20000.to.30000,7.247916620911686e-4
Current.monthly.income5000.to.10000,4.907842802927111e-4
Current.monthly.incomeLess.than.5000,2.7172744399421686e-4
Current.monthly.incomeMore.than.30000,3.000264918842038e-4
Current.monthly.incomeNone,0.002444761932623725
Depression.before.pregnancy..PHQ2.Positive,4.0010921773437315e-5
Depression.during.pregnancy..PHQ2.Positive,0.0026460355873509163
Disease.before.pregnancyChronic.Disease,0.004279840679187831
Disease.before.pregnancyNon.Chronic.Disease,0.006054375788703963
Disease.before.pregnancyNone,0.009525444051071407
Diseases.during.pregnancyChronic.Disease,0.0018634437690933415
Diseases.during.pregnancyNon.Chronic.Disease,0.0031609410881803988
Diseases.during.pregnancyNon.chronic.disease,8.164728644422671e-5
Diseases.during.pregnancyNone,0.005561384733055577
EPDS.ResultLow,0.3734786669334187
EPDS.ResultMedium,0.2601141141271804
Education.LevelHigh.School,1.395160169237659e-5
Education.LevelHigh.school,2.734324462985445e-6
Education.LevelNone,8.23792640375721e-6
Education.LevelPrimary.School,3.845813154991381e-4
Education.LevelPrimary.school,3.313679784504748e-4
Education.LevelUniversity,0.0019484772455275674
Family.typeNuclear,0.0016390345130116856
Fear.of.pregnancyYes,0.001954904540368479
Feeling.about.motherhoodNeutral,5.276810547584629e-4
Feeling.about.motherhoodSad,1.0971375464322893e-4
Feeling.for.regular.activitiesNone,5.026843905141968e-4
Feeling.for.regular.activitiesTired,0.0018118339655150088
Feeling.for.regular.activitiesWorried,3.793668143702265e-4
Gender.of.newbornGirl,0.0014458926567378087
History.of.pregnancy.lossNone,0.005801394549548497
History.of.pregnancy.lossStill.born.Delivery,2.3900608785024983e-4
History.of.pregnancy.lossStill.born.delivery,1.4913647578915468e-7
Husband.s.education.levelHigh.School,0.0016781799247650626
Husband.s.education.levelHigh.school,1.0596834735519062e-4
Husband.s.education.levelNone,1.0122195779447389e-4
Husband.s.education.levelPrimary.School,6.49124735371133e-4
Husband.s.education.levelPrimary.school,1.6728225883082156e-4
