target_prop,n_target,frac_pop_targeted,cases_in_target,frac_cases_in_target,policy_id,policy_label,prevented_cases,prevented_pct_all_cases,scenario_id
0.05,40,0.05006257822277847,40,0.09049773755656108,ipvelim,IPV elimination (RR = 1.80),2.2641509433962304,0.005122513446597806,epds11
0.1,80,0.10012515644555695,80,0.18099547511312217,ipvelim,IPV elimination (RR = 1.80),9.203539823008855,0.020822488287350352,epds11
0.15000000000000002,120,0.15018773466833543,120,0.27149321266968324,ipvelim,IPV elimination (RR = 1.80),17.142857142857135,0.03878474466709759,epds11
0.2,160,0.2002503128911139,160,0.36199095022624433,ipvelim,IPV elimination (RR = 1.80),23.247863247863236,0.052596975673898726,epds11
0.25,200,0.2503128911138924,200,0.45248868778280543,ipvelim,IPV elimination (RR = 1.80),32.77591973244147,0.074153664553035,epds11
0.3,240,0.30037546933667086,240,0.5429864253393665,ipvelim,IPV elimination (RR = 1.80),42.197802197802204,0.09547014071900951,epds11
0.35000000000000003,280,0.3504380475594493,280,0.6334841628959276,ipvelim,IPV elimination (RR = 1.80),53.67205542725172,0.12142998965441566,epds11
0.4,320,0.4005006257822278,320,0.7239819004524887,ipvelim,IPV elimination (RR = 1.80),63.999999999999986,0.1447963800904977,epds11
0.45,360,0.45056320400500627,356,0.8054298642533937,ipvelim,IPV elimination (RR = 1.80),74.45342706502637,0.16844666756793297,epds11
0.5,400,0.5006257822277848,385,0.8710407239819005,ipvelim,IPV elimination (RR = 1.80),87.93209876543213,0.19894139992179216,epds11
0.05,40,0.05006257822277847,40,0.09049773755656108,mh_pkg,Mental health package (RR = 0.70),12.000000000000002,0.02714932126696833,epds11
0.1,80,0.10012515644555695,80,0.18099547511312217,mh_pkg,Mental health package (RR = 0.70),24.000000000000004,0.05429864253393666,epds11
0.15000000000000002,120,0.15018773466833543,120,0.27149321266968324,mh_pkg,Mental health package (RR = 0.70),36.00000000000001,0.081447963800905,epds11
0.2,160,0.2002503128911139,160,0.36199095022624433,mh_pkg,Mental health package (RR = 0.70),48.00000000000001,0.10859728506787332,epds11
0.25,200,0.2503128911138924,200,0.45248868778280543,mh_pkg,Mental health package (RR = 0.70),60.00000000000001,0.13574660633484165,epds11
0.3,240,0.30037546933667086,240,0.5429864253393665,mh_pkg,Mental health package (RR = 0.70),72.00000000000001,0.16289592760181,epds11
0.35000000000000003,280,0.3504380475594493,280,0.6334841628959276,mh_pkg,Mental health package (RR = 0.70),84.00000000000001,0.1900452488687783,epds11
0.4,320,0.4005006257822278,320,0.7239819004524887,mh_pkg,Mental health package (RR = 0.70),96.00000000000001,0.21719457013574664,epds11
0.45,360,0.45056320400500627,356,0.8054298642533937,mh_pkg,Mental health package (RR = 0.70),106.80000000000003,0.24162895927601816,epds11
0.5,400,0.5006257822277848,385,0.8710407239819005,mh_pkg,Mental health package (RR = 0.70),115.50000000000003,0.2613122171945702,epds11
0.05,43,0.05381727158948686,42,0.12034383954154727,ipvelim,IPV elimination (RR = 1.80),7.665399239543727,0.021963894669179734,lasso
0.1,80,0.10012515644555695,79,0.22636103151862463,ipvelim,IPV elimination (RR = 1.80),12.050847457627132,0.03452964887572244,lasso
0.15000000000000002,121,0.15143929912390489,120,0.3438395415472779,ipvelim,IPV elimination (RR = 1.80),18.176718092566613,0.05208228679818514,lasso
