variable,0,1,p,test,SMD
n,451,349,,,
age..mean..SD..,27.69 (4.68),27.77 (4.17),0.787,,0.019
residence...Village....,98 (21.7),65 (18.6),0.321,,0.077
education_level....,,,<0.001,,0.413
X...College,60 (13.3),39 (11.2),,,
X...High.school,8 (1.8),1 (0.3),,,
X...High.School,49 (10.9),13 (3.7),,,
X...None,4 (0.9),2 (0.6),,,
X...Primary.school,9 (2.0),2 (0.6),,,
X...Primary.School,19 (4.2),6 (1.7),,,
X...University,302 (67.0),286 (81.9),,,
marital_status...Married....,450 (99.8),345 (98.9),0.233,,0.112
family_type...Nuclear....,262 (58.1),159 (45.6),0.001,,0.253
total_children....,,,0.110,,0.181
X...More.than.two,32 (7.1),18 (5.2),,,
X...More.than.Two,8 (1.8),1 (0.3),,,
X...One,282 (62.5),236 (67.6),,,
X...Two,129 (28.6),94 (26.9),,,
pregnancy_plan...Yes....,344 (76.3),224 (64.2),<0.001,,0.267
regular_checkups...Yes....,428 (94.9),324 (92.8),0.285,,0.086
fear_of_pregnancy...Yes....,237 (52.5),249 (71.3),<0.001,,0.395
major_changes_or_losses_during_pregnancy...Yes....,109 (24.2),165 (47.3),<0.001,,0.497
recieved_support....,,,<0.001,,0.562
X...High,224 (49.7),83 (23.8),,,
X...Low,66 (14.6),88 (25.2),,,
X...Medium,161 (35.7),178 (51.0),,,
need_for_support....,,,<0.001,,0.545
X...High.1,14 (3.1),11 (3.2),,,
X...Low.1,259 (57.4),264 (75.6),,,
X...Medium.1,43 (9.5),42 (12.0),,,
X...None.1,135 (29.9),32 (9.2),,,
trust_and_share_feelings....,,,<0.001,,0.365
X...No,111 (24.6),144 (41.3),,,
X...Unknown.Not.reported,1 (0.2),0 (0.0),,,
X...Yes,339 (75.2),205 (58.7),,,
abuse....,,,<0.001,,0.837
X...No.1,129 (28.6),230 (65.9),,,
X...None.2,35 (7.8),3 (0.9),,,
X...Yes.1,287 (63.6),116 (33.2),,,
newborn_illness...Yes....,75 (16.6),63 (18.1),0.665,,0.038
worry_about_newborn...Yes....,236 (52.3),234 (67.0),<0.001,,0.304
age_of_newborn....,,,0.102,,0.178
X...0.to.6.months,210 (46.6),134 (38.4),,,
X...1.year.to.1.5.year,78 (17.3),77 (22.1),,,
X...6.months.to.1.year,85 (18.8),68 (19.5),,,
X...Older.than.1.5.year,78 (17.3),70 (20.1),,,
relax_sleep_when_newborn_is_tended...Yes....,274 (60.8),181 (51.9),0.014,,0.180
relax_sleep_when_the_newborn_is_asleep...Yes....,373 (82.7),221 (63.3),<0.001,,0.447
