threshold,model,net_benefit
0.05,ElasticNet A,0.4065789473684211
0.05,ElasticNet B,0.4065789473684211
0.05,ElasticNet C,0.4065789473684211
0.05,ElasticNet D,0.4065789473684211
0.05,XGBoost D (Platt),0.40980263157894736
0.05,Treat all,0.4065789473684211
0.05,Treat none,0
0.060000000000000005,ElasticNet A,0.40026595744680854
0.060000000000000005,ElasticNet B,0.40026595744680854
0.060000000000000005,ElasticNet C,0.40026595744680854
0.060000000000000005,ElasticNet D,0.40026595744680854
0.060000000000000005,XGBoost D (Platt),0.40555851063829784
0.060000000000000005,Treat all,0.40026595744680854
0.060000000000000005,Treat none,0
0.07,ElasticNet A,0.3938172043010753
0.07,ElasticNet B,0.3938172043010753
0.07,ElasticNet C,0.3938172043010753
0.07,ElasticNet D,0.39391129032258065
0.07,XGBoost D (Platt),0.40141129032258066
0.07,Treat all,0.3938172043010753
0.07,Treat none,0
0.08,ElasticNet A,0.38722826086956524
0.08,ElasticNet B,0.38722826086956524
0.08,ElasticNet C,0.38722826086956524
0.08,ElasticNet D,0.38733695652173916
0.08,XGBoost D (Platt),0.3935326086956522
0.08,Treat all,0.38722826086956524
0.08,Treat none,0
0.09,ElasticNet A,0.38049450549450553
0.09,ElasticNet B,0.38049450549450553
0.09,ElasticNet C,0.38049450549450553
0.09,ElasticNet D,0.38086538461538466
0.09,XGBoost D (Platt),0.3835851648351648
0.09,Treat all,0.38049450549450553
0.09,Treat none,0
0.1,ElasticNet A,0.3736111111111111
0.1,ElasticNet B,0.3736111111111111
0.1,ElasticNet C,0.3736111111111111
0.1,ElasticNet D,0.37430555555555556
0.1,XGBoost D (Platt),0.37819444444444444
0.1,Treat all,0.3736111111111111
0.1,Treat none,0
0.11,ElasticNet A,0.3665730337078652
0.11,ElasticNet B,0.3665730337078652
0.11,ElasticNet C,0.3665730337078652
0.11,ElasticNet D,0.367808988764045
0.11,XGBoost D (Platt),0.3739747191011236
0.11,Treat all,0.3665730337078652
0.11,Treat none,0
0.12000000000000001,ElasticNet A,0.359375
0.12000000000000001,ElasticNet B,0.359375
0.12000000000000001,ElasticNet C,0.359375
0.12000000000000001,ElasticNet D,0.36210227272727274
0.12000000000000001,XGBoost D (Platt),0.3698863636363636
0.12000000000000001,Treat all,0.359375
0.12000000000000001,Treat none,0
0.13,ElasticNet A,0.3520114942528736
0.13,ElasticNet B,0.3520114942528736
0.13,ElasticNet C,0.3520114942528736
0.13,ElasticNet D,0.35649425287356323
0.13,XGBoost D (Platt),0.36714080459770115
0.13,Treat all,0.3520114942528736
0.13,Treat none,0
0.14,ElasticNet A,0.34447674418604657
0.14,ElasticNet B,0.34447674418604657
0.14,ElasticNet C,0.34447674418604657
0.14,ElasticNet D,0.35159883720930235
0.14,XGBoost D (Platt),0.36444767441860465
0.14,Treat all,0.34447674418604657
0.14,Treat none,0
0.15000000000000002,ElasticNet A,0.33676470588235297
0.15000000000000002,ElasticNet B,0.33676470588235297
0.15000000000000002,ElasticNet C,0.33676470588235297
0.15000000000000002,ElasticNet D,0.3433088235294118
0.15000000000000002,XGBoost D (Platt),0.3561764705882353
0.15000000000000002,Treat all,0.33676470588235297
0.15000000000000002,Treat none,0
0.16,ElasticNet A,0.32886904761904767
0.16,ElasticNet B,0.32886904761904767
0.16,ElasticNet C,0.33005952380952386
0.16,ElasticNet D,0.3385119047619048
0.16,XGBoost D (Platt),0.35077380952380954
0.16,Treat all,0.32886904761904767
0.16,Treat none,0
0.16999999999999998,ElasticNet A,0.32078313253012053
0.16999999999999998,ElasticNet B,0.32078313253012053
0.16999999999999998,ElasticNet C,0.32106927710843375
0.16999999999999998,ElasticNet D,0.3319126506024097
0.16999999999999998,XGBoost D (Platt),0.34650602409638553
0.16999999999999998,Treat all,0.32078313253012053
0.16999999999999998,Treat none,0
0.18,ElasticNet A,0.31250000000000006
0.18,ElasticNet B,0.31250000000000006
0.18,ElasticNet C,0.3131707317073171
0.18,ElasticNet D,0.3257317073170732
0.18,XGBoost D (Platt),0.3444207317073171
0.18,Treat all,0.31250000000000006
0.18,Treat none,0
0.19,ElasticNet A,0.30401234567901236
0.19,ElasticNet B,0.30401234567901236
0.19,ElasticNet C,0.3048148148148148
0.19,ElasticNet D,0.3171759259259259
0.19,XGBoost D (Platt),0.34094135802469133
0.19,Treat all,0.30401234567901236
0.19,Treat none,0
0.2,ElasticNet A,0.29531250000000003
0.2,ElasticNet B,0.29531250000000003
